Vehicle,Average Loss,"Collision
","Property damage
","Comprehensive
","Personal
injury
","Medical
payment
","Bodily
injury
"
Acura TSX,93.17,106,83,110,94,84,82
Buick Verano,87.50,82,68,86,114,,
Chevrolet Malibu,112.33,95,97,101,122,136,123
Chrysler 200,113.50,93,88,97,144,134,125
Dodge Avenger,143.17,114,124,98,176,178,169
Ford Fusion,105.83,102,89,106,112,122,104
Ford Fusion 4WD,102.20,118,84,111,101,97,
Ford Fusion hybrid,94.33,119,90,98,75,81,103
Honda Accord,96.83,83,88,85,113,116,96
Hyundai Sonata,108.00,106,92,104,118,124,104
Hyundai Sonata hybrid,116.75,151,103,114,99,,
Kia Optima,115.17,110,92,113,128,135,113
Kia Optima hybrid,116.00,113,,119,,,
Mazda 6,104.83,92,106,90,108,120,113
Mitsubishi Galant,146.67,109,121,93,189,215,153
Nissan Altima,115.83,105,90,100,145,147,108
Nissan Maxima,119.83,129,93,154,131,116,96
Subaru Legacy 4WD,88.50,87,76,111,89,85,83
Suzuki Kizashi,118.00,129,93,130,120,,
Suzuki Kizashi 4WD,131.50,157,107,134,128,,
Toyota Camry,113.50,111,74,130,133,141,92
Toyota Camry hybrid,94.40,97,46,123,103,103,
Volkswagen Jetta,112.83,116,108,105,110,118,120
Volkswagen Passat,101.67,101,73,125,110,117,84
Volkswagen Passat CC,101.33,121,86,106,103,102,90
Volkswagen Passat CC 4WD,164.00,164,,,,,
Buick LaCrosse,91.33,93,85,99,86,94,91
Buick LaCrosse 4WD,89.75,91,79,100,89,,
Buick Regal,93.00,88,86,99,99,94,92
Chevrolet Impala,112.83,89,97,82,140,142,127
Chrysler 300,118.00,109,82,155,135,138,89
Chrysler 300 HEMI,110.00,119,68,143,,,
Chrysler 300 HEMI 4WD,135.50,126,,145,,,
Dodge Charger,140.33,139,117,153,149,144,140
Dodge Charger HEMI,129.75,149,100,175,95,,
Dodge Charger HEMI 4WD,122.00,128,,116,,,
Ford Taurus,101.17,102,83,127,99,97,99
Ford Taurus 4WD,100.75,111,73,140,79,,
Ford Taurus SHO 4WD,114.50,138,97,144,79,,
Toyota Avalon,89.83,102,78,101,90,91,77
Ford Fiesta,116.50,107,102,92,140,140,118
Hyundai Accent,132.50,118,113,101,162,160,141
Kia Rio,104.00,109,93,110,,,
Mazda 2,115.33,104,95,102,136,136,119
Toyota Yaris hatchback,104.00,104,,,,,
Chevrolet Cruze,111.67,89,107,101,121,128,124
Chevrolet Sonic,124.50,98,100,113,134,172,130
Chevrolet Volt,90.50,109,86,98,69,,
Ford Focus,117.50,113,106,106,123,132,125
Honda Civic,109.50,91,89,84,130,143,120
Honda Civic hybrid,78.00,78,,,,,
Honda Civic Si,114.50,110,,119,,,
Honda Insight hybrid,98.17,104,91,84,108,107,95
Hyundai Elantra,107.83,104,94,100,126,123,100
Kia Forte,129.50,103,116,98,162,165,133
Mazda 3,111.33,113,112,93,115,113,122
Mitsubishi Lancer,150.17,148,132,136,161,160,164
Mitsubishi Lancer 4WD,199.50,205,,194,,,
Mitsubishi Lancer Evolution 4WD,186.33,241,95,223,,,
Mitsubishi Lancer hatchback,118.33,135,101,119,,,
Nissan Juke,108.83,115,89,86,129,126,108
Nissan Juke 4WD,105.67,103,97,97,128,120,89
Nissan Leaf electric,64.67,86,48,60,,,
Nissan Sentra,127.00,117,107,80,157,164,137
Nissan Sentra SE-R,132.50,133,,132,,,
Nissan Versa,128.33,123,84,102,162,171,128
Nissan Versa hatchback,122.00,113,100,79,151,157,132
Subaru Impreza 4WD,103.50,100,82,136,96,,
Subaru Impreza WRX 4WD,131.75,172,90,160,105,,
Suzuki SX4,156.50,172,127,124,203,,
Toyota Corolla,124.67,113,109,96,152,149,129
Toyota Prius C hybrid,101.50,118,48,116,124,,
Toyota Prius hybrid,95.83,101,88,105,90,95,96
Volkswagen Golf,84.00,100,77,96,74,67,90
Volkswagen GTI,81.00,112,77,91,64,62,80
